year	age	n
2009	27	11
2011	27	0
2012	27	11
2013	27	11
2015	27	22
1991	26	19
1992	26	30
1993	26	0
1999	26	32
2020	26	9
2021	26	32
2022	26	87
1989	26	47
1990	26	47
1994	26	32
1995	26	61
1996	26	10
1997	26	21
1998	26	10
2000	26	11
2001	26	0
2002	26	11
2003	26	23
2004	26	0
2005	26	11
2006	26	0
2007	26	22
2008	26	0
2009	26	24
2010	26	11
2011	26	0
2012	26	11
2013	26	11
2014	26	11
2015	26	21
2016	26	17
2017	26	37
2018	26	9
2019	26	37
1989	25	39
1990	25	39
1991	25	30
1992	25	42
1993	25	42
1995	25	40
1999	25	32
2000	25	47
2009	25	37
2016	25	29
2019	25	19
2020	25	64
2021	25	48
2022	25	61
1994	25	0
1996	25	9
1997	25	10
1998	25	10
2001	25	0
2002	25	0
2003	25	0
2004	25	11
2005	25	0
2006	25	10
2007	25	11
2008	25	11
2010	25	0
2011	25	0
2012	25	0
2013	25	0
2014	25	10
2015	25	9
2017	25	0
2018	25	9
1989	24	19
1990	24	19
1991	24	32
1992	24	21
1993	24	32
1994	24	61
1995	24	29
1999	24	32
2000	24	23
2009	24	22
2016	24	9
2019	24	0
2020	24	57
2021	24	24
2022	24	61
1996	24	19
1997	24	0
1998	24	11
2001	24	11
2002	24	0
2003	24	0
2004	24	19
2005	24	0
2006	24	0
2007	24	11
2008	24	0
2010	24	0
2011	24	0
2012	24	11
2013	24	0
2014	24	0
2015	24	9
2017	24	0
2018	24	9
1993	23	10
1994	23	29
2020	23	11
2021	23	61
2022	23	103
1989	23	42
1990	23	42
1991	23	32
1992	23	10
1995	23	19
1996	23	21
1997	23	0
1998	23	11
1999	23	0
2000	23	11
2001	23	0
2002	23	0
2003	23	0
2004	23	0
2005	23	11
2006	23	22
2007	23	0
2008	23	0
2009	23	0
2010	23	0
2011	23	0
2012	23	10
2013	23	9
2014	23	0
2015	23	9
2016	23	9
2017	23	0
2018	23	0
2019	23	11
1989	22	21
1990	22	21
1991	22	32
1994	22	17
1997	22	22
2020	22	61
2021	22	116
2022	22	24
1992	22	10
1993	22	17
1995	22	0
1996	22	10
1998	22	0
1999	22	0
2000	22	0
2001	22	0
2002	22	0
2003	22	0
2004	22	0
2005	22	0
2006	22	11
2007	22	0
2008	22	0
2009	22	0
2010	22	0
2011	22	10
2012	22	0
2013	22	9
2014	22	0
2015	22	0
2016	22	0
2017	22	0
2018	22	11
2019	22	11
1989	21	19
1990	21	19
1991	21	0
1993	21	64
1994	21	9
1996	21	0
1997	21	11
2006	21	10
2011	21	9
2018	21	11
2019	21	37
2020	21	120.5
2021	21	76
2022	21	24
1999	21	11
2001	21	9
2007	21	11
2008	21	11
2009	21	10
2016	21	10
2017	21	23
1992	21	0
1995	21	0
1998	21	0
2000	21	0
2002	21	0
2003	21	0
2004	21	0
2005	21	0
2010	21	0
2012	21	0
2013	21	0
2014	21	0
2015	21	0
1992	20	8
1993	20	9
2020	20	0
2021	20	37
1989	20	17
1990	20	17
1991	20	17
1994	20	9
1995	20	9
1996	20	0
1997	20	0
1998	20	10
1999	20	0
2000	20	0
2001	20	17
2002	20	10
2003	20	0
2004	20	0
2005	20	0
2006	20	0
2007	20	21
2008	20	0
2009	20	0
2010	20	9
2011	20	0
2012	20	0
2013	20	0
2014	20	9
2015	20	0
2016	20	0
2017	20	23
2018	20	0
2019	20	13
2022	20	29
2020	19	40
2021	19	71
2022	19	16
1989	19	0
1990	19	0
1991	19	0
1992	19	17
1993	19	0
1994	19	0
1995	19	0
1996	19	0
1997	19	0
1998	19	0
1999	19	0
2000	19	0
2001	19	0
2002	19	9
2003	19	0
2004	19	9
2005	19	0
2006	19	0
2007	19	0
2008	19	0
2009	19	9
2010	19	0
2011	19	9
2012	19	0
2013	19	9
2014	19	10
2015	19	0
2016	19	11
2017	19	0
2018	19	11
2019	19	0
1992	18	0
2002	18	0
2004	18	0
2009	18	0
2011	18	0
2013	18	0
2014	18	0
2016	18	0
2018	18	0
2020	18	64
2021	18	40
2022	18	28
1989	18	16
1990	18	16
1993	18	9
1994	18	9
2006	18	8
2008	18	8
2017	18	11
1991	18	0
1995	18	0
1996	18	0
1997	18	0
1998	18	0
1999	18	0
2000	18	0
2001	18	0
2003	18	0
2005	18	0
2007	18	0
2010	18	0
2012	18	0
2015	18	0
2019	18	0
2020	17	0
2021	17	0
1989	17	8
1990	17	8
1991	17	0
1992	17	0
1993	17	0
1994	17	0
1995	17	0
1996	17	0
1997	17	8
1998	17	0
1999	17	0
2000	17	0
2001	17	0
2002	17	0
2003	17	0
2004	17	0
2005	17	0
2006	17	0
2007	17	0
2008	17	0
2009	17	0
2010	17	0
2011	17	8
2012	17	0
2013	17	0
2014	17	0
2015	17	0
2016	17	0
2017	17	0
2018	17	0
2019	17	11
2022	17	11
1989	16	8
1990	16	8
1991	16	0
1992	16	8
1993	16	8
1994	16	0
1995	16	0
1996	16	0
1997	16	0
1998	16	0
1999	16	0
2000	16	0
2001	16	0
2002	16	0
2003	16	0
2004	16	0
2005	16	0
2006	16	0
2007	16	0
2008	16	0
2009	16	0
2010	16	0
2011	16	0
2012	16	0
2013	16	0
2014	16	0
2015	16	0
2016	16	0
2017	16	0
2018	16	0
2019	16	0
2020	16	11
2021	16	0
2022	16	24
1989	15	0
1990	15	0
1992	15	0
1993	15	0
2020	15	0
2022	15	0
1991	15	0
1994	15	0
1995	15	0
1996	15	0
1997	15	0
1998	15	0
1999	15	0
2000	15	0
2001	15	0
2002	15	0
2003	15	0
2004	15	0
2005	15	0
2006	15	0
2007	15	0
2008	15	0
2009	15	0
2010	15	0
2011	15	0
2012	15	0
2013	15	0
2014	15	0
2015	15	0
2016	15	0
2017	15	0
2018	15	0
2019	15	0
2021	15	0
1989	14	0
1990	14	0
1991	14	0
1992	14	0
1993	14	0
1994	14	0
1995	14	0
1996	14	0
1997	14	0
1998	14	0
1999	14	0
2000	14	0
2001	14	0
2002	14	0
2003	14	0
2004	14	0
2005	14	0
2006	14	0
2007	14	0
2008	14	0
2009	14	0
2010	14	0
2011	14	0
2012	14	0
2013	14	0
2014	14	0
2015	14	0
2016	14	0
2017	14	0
2018	14	0
2019	14	0
2020	14	0
2021	14	0
2022	14	0
1989	13	0
1990	13	0
1991	13	0
1992	13	0
1993	13	0
1994	13	0
1995	13	0
1996	13	0
1997	13	0
1998	13	0
1999	13	0
2000	13	0
2001	13	0
2002	13	0
2003	13	0
2004	13	0
2005	13	0
2006	13	0
2007	13	0
2008	13	0
2009	13	0
2010	13	0
2011	13	0
2012	13	0
2013	13	0
2014	13	0
2015	13	0
2016	13	0
2017	13	0
2018	13	0
2019	13	0
2020	13	0
2021	13	0
2022	13	0
1989	12	0
1990	12	0
1991	12	0
1992	12	0
1993	12	0
1994	12	0
1995	12	0
1996	12	0
1997	12	0
1998	12	0
1999	12	0
2000	12	0
2001	12	0
2002	12	0
2003	12	0
2004	12	0
2005	12	0
2006	12	0
2007	12	0
2008	12	0
2009	12	0
2010	12	0
2011	12	0
2012	12	0
2013	12	0
2014	12	0
2015	12	0
2016	12	0
2017	12	0
2018	12	0
2019	12	0
2020	12	0
2021	12	0
2022	12	0
1989	11	0
1990	11	0
1991	11	0
1992	11	0
1993	11	0
1994	11	0
1995	11	0
1996	11	0
1997	11	8
1998	11	0
1999	11	0
2000	11	0
2001	11	0
2002	11	0
2003	11	0
2004	11	0
2005	11	0
2006	11	0
2007	11	0
2008	11	0
2009	11	0
2010	11	0
2011	11	0
2012	11	0
2013	11	0
2014	11	0
2015	11	0
2016	11	0
2017	11	0
2018	11	0
2019	11	0
2020	11	0
2021	11	0
2022	11	0
1989	10	0
1990	10	0
1991	10	0
1992	10	0
1993	10	0
1994	10	0
1995	10	0
1996	10	0
1997	10	0
1998	10	0
1999	10	0
2000	10	0
2001	10	0
2002	10	0
2003	10	0
2004	10	0
2005	10	0
2006	10	0
2007	10	0
2008	10	0
2009	10	0
2010	10	0
2011	10	0
2012	10	0
2013	10	0
2014	10	0
2015	10	0
2016	10	0
2017	10	0
2018	10	0
2019	10	0
2020	10	0
2021	10	0
2022	10	0
1989	9	0
1990	9	0
1991	9	0
1992	9	0
1993	9	0
1994	9	0
1995	9	0
1996	9	0
1997	9	0
1998	9	0
1999	9	0
2000	9	0
2001	9	0
2002	9	0
2003	9	0
2004	9	0
2005	9	0
2006	9	0
2007	9	0
2008	9	0
2009	9	0
2010	9	0
2011	9	0
2012	9	0
2013	9	0
2014	9	0
2015	9	0
2016	9	0
2017	9	0
2018	9	0
2019	9	0
2020	9	0
2021	9	0
2022	9	0
1989	8	0
1990	8	0
1991	8	0
1992	8	0
1993	8	0
1994	8	0
1995	8	0
1996	8	0
1997	8	0
1998	8	0
1999	8	0
2000	8	0
2001	8	0
2002	8	0
2003	8	0
2004	8	0
2005	8	0
2006	8	0
2007	8	0
2008	8	0
2009	8	0
2010	8	0
2011	8	0
2012	8	0
2013	8	0
2014	8	0
2015	8	0
2016	8	0
2017	8	0
2018	8	0
2019	8	0
2020	8	0
2021	8	0
2022	8	0
1989	7	0
1990	7	0
1991	7	0
1992	7	0
1993	7	0
1994	7	0
1995	7	0
1996	7	0
1997	7	0
1998	7	0
1999	7	0
2000	7	0
2001	7	0
2002	7	0
2003	7	0
2004	7	0
2005	7	0
2006	7	0
2007	7	0
2008	7	0
2009	7	0
2010	7	0
2011	7	0
2012	7	0
2013	7	0
2014	7	0
2015	7	0
2016	7	0
2017	7	0
2018	7	0
2019	7	0
2020	7	0
2021	7	0
2022	7	0
1989	6	0
1990	6	0
1991	6	0
1992	6	0
1993	6	0
1994	6	0
1995	6	0
1996	6	0
1997	6	0
1998	6	0
1999	6	0
2000	6	0
2001	6	0
2002	6	0
2003	6	0
2004	6	0
2005	6	0
2006	6	0
2007	6	0
2008	6	0
2009	6	0
2010	6	0
2011	6	0
2012	6	0
2013	6	0
2014	6	0
2015	6	0
2016	6	0
2017	6	0
2018	6	0
2019	6	0
2020	6	0
2021	6	0
2022	6	0
1989	5	0
1990	5	0
1991	5	0
1992	5	0
1993	5	0
1994	5	0
1995	5	0
1996	5	0
1997	5	0
1998	5	0
1999	5	0
2000	5	0
2001	5	0
2002	5	0
2003	5	0
2004	5	0
2005	5	0
2006	5	0
2007	5	0
2008	5	0
2009	5	0
2010	5	0
2011	5	0
2012	5	0
2013	5	0
2014	5	0
2015	5	0
2016	5	0
2017	5	0
2018	5	0
2019	5	0
2020	5	0
2021	5	0
2022	5	0
1989	4	0
1990	4	0
1991	4	0
1992	4	0
1993	4	0
1994	4	0
1995	4	0
1996	4	0
1997	4	0
1998	4	0
1999	4	0
2000	4	0
2001	4	0
2002	4	0
2003	4	0
2004	4	0
2005	4	0
2006	4	0
2007	4	0
2008	4	0
2009	4	0
2010	4	0
2011	4	0
2012	4	11
2013	4	0
2014	4	0
2015	4	0
2016	4	0
2017	4	0
2018	4	0
2019	4	0
2020	4	0
2021	4	0
2022	4	0
2012	3	0
1989	3	0
1990	3	0
1991	3	0
1992	3	0
1993	3	0
1994	3	0
1995	3	6
1996	3	0
1997	3	0
1998	3	0
1999	3	0
2000	3	0
2001	3	0
2002	3	0
2003	3	0
2004	3	0
2005	3	0
2006	3	0
2007	3	0
2008	3	0
2009	3	0
2010	3	0
2011	3	0
2013	3	0
2014	3	0
2015	3	0
2016	3	0
2017	3	0
2018	3	0
2019	3	0
2020	3	0
2021	3	0
2022	3	0
1989	2	0
1990	2	0
1991	2	0
1992	2	0
1993	2	0
1994	2	0
1995	2	0
1996	2	0
1997	2	0
1998	2	0
1999	2	0
2000	2	0
2001	2	0
2002	2	0
2003	2	0
2004	2	0
2005	2	0
2006	2	0
2007	2	10
2008	2	0
2009	2	0
2010	2	0
2011	2	0
2012	2	10
2013	2	0
2014	2	11
2015	2	0
2016	2	0
2017	2	0
2018	2	0
2019	2	0
2020	2	0
2021	2	0
2022	2	0
1989	1	8
1990	1	8
1991	1	8
1992	1	0
1993	1	0
1994	1	0
1995	1	0
1996	1	0
1997	1	0
1998	1	8
1999	1	0
2000	1	8
2001	1	0
2002	1	0
2003	1	0
2004	1	0
2005	1	0
2006	1	0
2007	1	0
2008	1	0
2009	1	0
2010	1	0
2011	1	0
2012	1	0
2013	1	0
2014	1	0
2015	1	11
2016	1	0
2017	1	0
2018	1	0
2019	1	0
2020	1	0
2021	1	0
2022	1	0
1989	0	0
1990	0	0
1991	0	0
1992	0	6
1993	0	0
1994	0	14
1995	0	0
1996	0	0
1997	0	0
1998	0	0
1999	0	0
2000	0	8
2001	0	8
2002	0	0
2003	0	0
2004	0	0
2005	0	0
2006	0	0
2007	0	0
2008	0	0
2009	0	0
2010	0	0
2011	0	0
2012	0	0
2013	0	0
2014	0	0
2015	0	0
2016	0	11
2017	0	11
2018	0	11
2019	0	0
2020	0	13
2021	0	0
2022	0	0
