year	age	n
2013	73	0
2014	73	0
2015	73	32
2016	73	0
2017	73	0
2018	73	0
2019	73	64
2020	73	27
2021	73	112
2022	73	141
1989	72	0
1990	72	0
1991	72	0
1992	72	0
1993	72	0
1994	72	0
1995	72	0
1996	72	0
1997	72	37
1998	72	0
1999	72	0
2000	72	0
2001	72	0
2002	72	0
2003	72	0
2004	72	0
2005	72	0
2006	72	0
2007	72	32
2008	72	0
2009	72	32
2010	72	0
2011	72	32
2012	72	0
2013	72	0
2014	72	30
2015	72	0
2016	72	29
2017	72	0
2018	72	0
2019	72	50
2020	72	107
2021	72	128
2022	72	266
1989	71	0
1990	71	0
1991	71	0
1992	71	0
1993	71	0
1994	71	35
1995	71	0
1996	71	0
1997	71	0
1998	71	0
1999	71	0
2000	71	0
2001	71	30
2002	71	0
2003	71	0
2004	71	0
2005	71	0
2006	71	29
2007	71	0
2008	71	30
2009	71	0
2010	71	0
2011	71	0
2012	71	0
2013	71	29
2014	71	0
2015	71	28
2016	71	87
2017	71	29
2018	71	98
2019	71	50
2020	71	98
2021	71	145
2022	71	329
1989	70	0
1990	70	0
1991	70	0
1992	70	32
1993	70	0
1994	70	0
1995	70	0
1996	70	0
1997	70	0
1998	70	0
1999	70	0
2000	70	0
2001	70	64
2002	70	0
2003	70	0
2004	70	0
2005	70	29
2006	70	0
2007	70	0
2008	70	0
2009	70	0
2010	70	0
2011	70	0
2012	70	0
2013	70	27
2014	70	0
2015	70	0
2016	70	0
2017	70	23
2018	70	70
2019	70	70
2020	70	88.5
2021	70	170
2022	70	181
1989	69	0
1990	69	0
1991	69	0
1992	69	0
1993	69	0
1994	69	0
1995	69	0
1996	69	0
1997	69	0
1998	69	0
1999	69	0
2000	69	0
2001	69	0
2002	69	0
2003	69	30
2004	69	0
2005	69	28
2006	69	0
2007	69	0
2008	69	0
2009	69	0
2010	69	0
2011	69	0
2012	69	0
2013	69	24
2014	69	24
2015	69	27
2016	69	0
2017	69	0
2018	69	116
2019	69	107
2020	69	166
2021	69	239
2022	69	314
1989	68	0
1990	68	0
1991	68	0
1992	68	0
1993	68	0
1994	68	0
1995	68	0
1996	68	0
1997	68	0
1998	68	0
1999	68	0
2000	68	29
2001	68	0
2002	68	0
2003	68	53
2004	68	0
2005	68	28
2006	68	27
2007	68	61
2008	68	0
2009	68	28
2010	68	0
2011	68	0
